   6.999999999999981e-01
   1.265625000000000e-01    1.148203289745203e-01
   1.296875000000000e-01    1.377851521619264e-01
   1.328125000000000e-01    1.640000459181369e-01
   1.359375000000000e-01    1.936211170566872e-01
   1.390625000000000e-01    2.267449892242631e-01
   1.421875000000000e-01    2.633950871338903e-01
   1.453125000000000e-01    3.035087111052228e-01
   1.484375000000000e-01    3.469256861455101e-01
   1.515625000000000e-01    3.933794005264508e-01
   1.546875000000000e-01    4.424910296805317e-01
   1.578125000000000e-01    4.937676664173429e-01
   1.609375000000000e-01    5.466049458969579e-01
   1.640625000000000e-01    6.002945659303401e-01
   1.671875000000000e-01    6.540368672726260e-01
   1.703125000000000e-01    7.069583666449931e-01
   1.734375000000000e-01    7.581338434622403e-01
   1.765625000000000e-01    8.066122890197590e-01
   1.796875000000000e-01    8.514457553121985e-01
   1.828125000000000e-01    8.917199108544339e-01
   1.859375000000000e-01    9.265849421727024e-01
