N,cpu-time, pi_estimate, relative error
10,0.00004712,2.00000000,1.14159265
1010,0.00000752,3.01587302,0.12571964
2010,0.00001416,3.18725100,0.04565834
3010,0.00002087,3.16489362,0.02330096
4010,0.00003247,3.18163673,0.04004407
5010,0.00003424,3.17571885,0.03412620
6010,0.00004096,3.14513981,0.00354716
7010,0.00005647,3.14383562,0.00224296
8010,0.00005430,3.16483516,0.02324251
9010,0.00006331,3.15097691,0.00938426
10010,0.00006767,3.14308553,0.00149288
11010,0.00007527,3.14244186,0.00084921
12010,0.00008526,3.14723518,0.00564252
13010,0.00008906,3.15375154,0.01215888
14010,0.00009440,3.14905768,0.00746503
15010,0.00010340,3.15351812,0.01192547
16010,0.00011111,3.15142429,0.00983163
17010,0.00011533,3.14769520,0.00610255
18010,0.00012162,3.13638383,0.00520882
19010,0.00012808,3.13299663,0.00859602
