N,cpu-time, pi_estimate, relative error
10,0.00015155,-nan,nan
1010,0.00000371,3.23809524,0.09650258
2010,0.00001562,3.20000000,0.05840735
3010,0.00000643,3.17021277,0.02862011
4010,0.00000811,3.16800000,0.02640735
5010,0.00002550,3.16932907,0.02773642
6010,0.00001146,3.13600000,0.00559265
7010,0.00001315,3.16894977,0.02735712
8010,0.00004108,3.16800000,0.02640735
9010,0.00001643,3.21136767,0.06977502
10010,0.00002526,3.20640000,0.06480735
11010,0.00001982,3.19186047,0.05026781
12010,0.00003842,3.17333333,0.03174068
13010,0.00002312,3.19311193,0.05151928
14010,0.00002478,3.19542857,0.05383592
15010,0.00002649,3.15991471,0.01832206
16010,0.00003342,3.15200000,0.01040735
17010,0.00002987,3.15333960,0.01174695
18010,0.00003148,3.15377778,0.01218512
19010,0.00003314,3.14814815,0.00655549
