N,cpu-time, pi_estimate, relative error
10,0.00003364,3.20000000,0.05840735
1010,0.00001464,3.17623762,0.03464497
2010,0.00002768,3.14825871,0.00666605
3010,0.00004108,3.15481728,0.01322462
4010,0.00005429,3.10822943,0.03336323
5010,0.00006772,3.12175649,0.01983617
6010,0.00008397,3.13743760,0.00415505
7010,0.00009690,3.13609130,0.00550136
8010,0.00012530,3.13108614,0.01050651
9010,0.00012217,3.13873474,0.00285791
10010,0.00013455,3.15284715,0.01125450
11010,0.00014792,3.15712988,0.01553723
12010,0.00016124,3.15070774,0.00911509
13010,0.00030608,3.16064566,0.01905300
14010,0.00018802,3.15317630,0.01158365
15010,0.00020143,3.15576282,0.01417017
16010,0.00021607,3.15552780,0.01393514
17010,0.00025171,3.16049383,0.01890117
18010,0.00026106,3.16579678,0.02420413
19010,0.00025479,3.16380852,0.02221587
