N,cpu-time, pi_estimate, relative error
10,0.00000373,3.20000000,0.05840735
1010,0.00002755,3.24752475,0.10593210
2010,0.00005426,3.22189055,0.08029789
3010,0.00008101,3.17740864,0.03581598
4010,0.00010773,3.17605985,0.03446720
5010,0.00013445,3.18163673,0.04004407
6010,0.00016122,3.18269551,0.04110285
7010,0.00018794,3.18345221,0.04185956
8010,0.00021529,3.17902622,0.03743356
9010,0.00024139,3.17114317,0.02955052
10010,0.00026813,3.17002997,0.02843732
11010,0.00029487,3.16802906,0.02643641
12010,0.00031676,3.15870108,0.01710843
13010,0.00035368,3.16064566,0.01905300
14010,0.00037505,3.16002855,0.01843590
15010,0.00043657,3.15842771,0.01683506
16010,0.00042854,3.15377889,0.01218623
17010,0.00044958,3.15273369,0.01114103
18010,0.00048202,3.15335924,0.01176659
19010,0.00050350,3.14844819,0.00685553
